R.Shift,azeite_oliva,azeite_oliva1,azeite_oliva2,oleo_canola media,oleo_canola1,oleo_canola2,oleo_girassol media,oleo_girassol1,oleo_girassol2,oleo_maria media,oleo_maria1,oleo_maria2,oleo_milho media,oleo_milho1,oleo_milho2,oleo_soja media,oleo_soja1,oleo_soja2
578.491,-0.000798738,-0.000910477,-0.000687,-0.000762535,-0.000759863,-0.000765208,-0.000787792,-0.000822747,-0.000752837,-0.00088139,-0.00088966,-0.000873121,-0.00074393,-0.000644367,-0.000843494,-0.000840564,-0.000835117,-0.00084601
580.463,-0.000804959,-0.000836207,-0.000773711,-0.000713614,-0.000729801,-0.000697427,-0.000788146,-0.00083889,-0.000737403,-0.000917656,-0.000905789,-0.000929524,-0.00078589,-0.000694992,-0.000876787,-0.000793224,-0.000851669,-0.00073478
582.434,-0.000780403,-0.00070362,-0.000857186,-0.000653455,-0.000658648,-0.000648262,-0.000765422,-0.000865787,-0.000665056,-0.000870338,-0.000953542,-0.000787135,-0.00075055,-0.000608546,-0.000892555,-0.000825646,-0.000915681,-0.000735611
584.404,-0.000754776,-0.000731525,-0.000778027,-0.000695827,-0.00064018,-0.000751474,-0.000706424,-0.000738062,-0.000674787,-0.000844269,-0.000925492,-0.000763045,-0.0007411,-0.000620662,-0.000861539,-0.000750562,-0.000837936,-0.000663189
586.373,-0.000751074,-0.000736275,-0.000765873,-0.000658708,-0.000686072,-0.000631343,-0.000689667,-0.00073255,-0.000646784,-0.00085405,-0.000946272,-0.000761829,-0.000745798,-0.000664359,-0.000827238,-0.000714562,-0.000791353,-0.00063777
588.342,-0.000733869,-0.000780029,-0.000687709,-0.00066351,-0.000677052,-0.000649969,-0.000639407,-0.000659123,-0.00061969,-0.000829566,-0.000937756,-0.000721375,-0.000690039,-0.00064488,-0.000735197,-0.000652958,-0.000709059,-0.000596856
590.309,-0.000717433,-0.000830574,-0.000604291,-0.000632035,-0.000628051,-0.000636019,-0.00065389,-0.000679642,-0.000628138,-0.000773408,-0.000868864,-0.000677951,-0.000707398,-0.000614657,-0.00080014,-0.000690595,-0.000740736,-0.000640454
592.276,-0.00072503,-0.000915106,-0.000534954,-0.000604044,-0.000570253,-0.000637834,-0.000699107,-0.000663314,-0.0007349,-0.000697197,-0.000768442,-0.000625952,-0.000713602,-0.000616923,-0.000810282,-0.000716272,-0.000657086,-0.000775458
594.242,-0.000707391,-0.000989188,-0.000425594,-0.000592068,-0.000627782,-0.000556354,-0.000650986,-0.000690676,-0.000611296,-0.000745476,-0.00079107,-0.000699881,-0.000642324,-0.000605641,-0.000679007,-0.000692222,-0.000642029,-0.000742415
596.207,-0.000708444,-0.000920571,-0.000496317,-0.000593902,-0.000633819,-0.000553985,-0.000685124,-0.000768301,-0.000601946,-0.000810949,-0.000790976,-0.000830922,-0.000624766,-0.000616558,-0.000632974,-0.000700026,-0.000643715,-0.000756336
598.171,-0.000622941,-0.000763941,-0.000481941,-0.000593356,-0.000657613,-0.000529099,-0.000671202,-0.000777108,-0.000565297,-0.000774052,-0.000827185,-0.000720919,-0.000557106,-0.000529915,-0.000584297,-0.000709509,-0.000619042,-0.000799976
600.134,-0.000678421,-0.000832554,-0.000524288,-0.000648052,-0.000620806,-0.000675298,-0.000674245,-0.000727141,-0.00062135,-0.000751494,-0.000734634,-0.000768353,-0.000565374,-0.000441483,-0.000689264,-0.000696855,-0.000668312,-0.000725397
602.096,-0.000650368,-0.000782424,-0.000518312,-0.000708238,-0.00078069,-0.000635786,-0.000641778,-0.000671276,-0.000612279,-0.000726921,-0.000770918,-0.000682925,-0.000552368,-0.000451367,-0.00065337,-0.000627911,-0.000663699,-0.000592124
